ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,Depth,Method,Block,Quadrat # (m),Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
91,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,8,pmi,Patiria miniata,Bat star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,8,dim,Dermasterias imbricata,Leather star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,0,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,16,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Tom Bird,Jasmin Schuster,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,NW,9:48,6,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Tom Bird,Jasmin Schuster,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,NW,9:48,6,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,9,0,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Tom Bird,Jasmin Schuster,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,NW,9:48,6,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Tom Bird,Jasmin Schuster,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,NW,9:48,6,2,2,8,phe,Pycnopodia helianthoides,Sunflower star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Tom Bird,Jasmin Schuster,BMSC25,Goby Town,48.838595,-125.135015,2024-04-23,1.5,NW,9:48,6,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Tom Bird,Jasmin Schuster,BMSC25,Goby Town,48.838595,-125.135015,2024-04-23,1.5,NW,9:48,6,2,2,40,pmi,Patiria miniata,Bat star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Tom Bird,Jasmin Schuster,BMSC25,Goby Town,48.838595,-125.135015,2024-04-23,1.5,NW,9:48,6,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Tom Bird,Jasmin Schuster,BMSC25,Goby Town,48.838595,-125.135015,2024-04-23,1.5,NW,9:48,6,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Tom Bird,Jasmin Schuster,BMSC25,Goby Town,48.838595,-125.135015,2024-04-23,1.5,NW,9:48,6,2,2,8,pmi,Patiria miniata,Bat star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,40,pmi,Patiria miniata,Bat star,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,40,dim,Dermasterias imbricata,Leather star,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,40,oko,Orthasterias koehleri,Rainbow star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,24,pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Tom Bird,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,4/22/2024,1,NW,10:10,7.5,2,2,8,dim,Dermasterias imbricata,Leather star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Tom Bird,Jasmin Schuster,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,4/22/2024,1.5,SW,12:43,8,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,10,0,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tom Bird,Jasmin Schuster,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,4/22/2024,1.5,SW,12:43,8,2,2,40,pmi,Patiria miniata,Bat star,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tom Bird,Jasmin Schuster,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,4/22/2024,1.5,SW,12:43,8,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Tom Bird,Jasmin Schuster,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,4/22/2024,1.5,SW,12:43,8,2,2,24,pmi,Patiria miniata,Bat star,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Tom Bird,Jasmin Schuster,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,4/22/2024,1.5,SW,12:43,8,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Tom Bird,Jasmin Schuster,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,4/22/2024,1.5,SW,12:43,8,2,2,8,pmi,Patiria miniata,Bat star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,48,dim,Dermasterias imbricata,Leather star,2,0,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,32,pmi,Patiria miniata,Bat star,2,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,16,pmi,Patiria miniata,Bat star,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,16,poc,Pisaster ochraceus,Purple sea star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Isabelle Cote,Claire Attridge,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,3,NE,13:03,5.5,2,1,16,dim,Dermasterias imbricata,Leather star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Em Lim,Tom Bird,BMSC26,Hosie South,48.9071,-125.037017,2024-04-24,1.5,SW,10:06,8,2,2,48,Henricia,Henricia sp.,Unidentified blood star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Em Lim,Tom Bird,BMSC26,Hosie South,48.9071,-125.037017,2024-04-24,1.5,SW,10:06,8,2,2,32,dim,Dermasterias imbricata,Leather star,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Em Lim,Tom Bird,BMSC26,Hosie South,48.9071,-125.037017,2024-04-24,1.5,SW,10:06,8,2,2,16,phe,Pycnopodia helianthoides,Sunflower star,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Em Lim,Tom Bird,BMSC26,Hosie South,48.9071,-125.037017,2024-04-24,1.5,SW,10:06,8,2,2,0,nsf,No species found,No species found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,48,oko,Orthasterias koehleri,Rainbow star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,40,mfra,Mesocentrotus franciscanus,Red sea urchin,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,40,dim,Dermasterias imbricata,Leather star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,32,dim,Dermasterias imbricata,Leather star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,32,pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,24,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,24,pmi,Patiria miniata,Bat star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,8,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Em Lim,Tom Bird,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,4,NE,13:03,10.5,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,40,pmi,Patiria miniata,Bat star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,40,poc,Pisaster ochraceus,Purple sea star,3,0,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,24,sdr,Strongylocentrotus droebachiensis,Northern sea urchin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,24,poc,Pisaster ochraceus,Purple sea star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,0,dim,Dermasterias imbricata,Leather star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Claire Attridge,Isabelle Cote,BMSC24,Swiss Boy,48.916073,-125.131174,2024-04-24,3,NE,13:03,5.5,2,2,0,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Tom Bird,Em Lim,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,4,NE,13:03,10.5,2,2,40,Henricia,Henricia sp.,Unidentified blood star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tom Bird,Em Lim,BMSC24,Swiss Boy,48.916073,-125.131174,4/24/2024,4,NE,13:03,10.5,2,2,8,dim,Dermasterias imbricata,Leather star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,0,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,0,dim,Dermasterias imbricata,Leather star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,9,0,,,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,8,pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,8,oko,Orthasterias koehleri,Rainbow star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,11,0,,,2,,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,16,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,16,pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,,,5,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,24,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),4,0,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,9,0,,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,32,pmi,Patiria miniata,Bat star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,16,0,,3,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,40,pmi,Patiria miniata,Bat star,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,2,40,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,48,oko,Orthasterias koehleri,Rainbow star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Isabelle Cote,Tom Bird,BMSC20,Ed King East,48.83566666,-125.214798,4/25/2024,3.5,NW,9:58,6.7,2,1,48,dim,Dermasterias imbricata,Leather star,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Tom Bird,Isabelle Cote,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Tom Bird,Isabelle Cote,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Tom Bird,Isabelle Cote,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,9,0,,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Tom Bird,Isabelle Cote,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,1,0,pmi,Patiria miniata,Bat star,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Tom Bird,Isabelle Cote,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,1,0,dim,Dermasterias imbricata,Leather star,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Isabelle Cote,Tom Bird,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Isabelle Cote,Tom Bird,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Isabelle Cote,Tom Bird,BMSC1,Dodger Channel,48.82894897,-125.1975708,4/25/2024,3,NE,14:17,6.5,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Isabelle Cote,Tom Bird,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,4/25/2024,3,W,12:06,8.5,2,1,0,pmi,Patiria miniata,Bat star,2,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Isabelle Cote,Tom Bird,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,4/25/2024,3,W,12:06,8.5,2,1,0,dim,Dermasterias imbricata,Leather star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Isabelle Cote,Tom Bird,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,4/25/2024,3,W,12:06,8.5,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Isabelle Cote,Tom Bird,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,4/25/2024,3,W,12:06,8.5,2,1,0,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Isabelle Cote,Tom Bird,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,4/25/2024,3,W,12:06,8.5,2,1,0,poc,Pisaster ochraceus,Purple sea star,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
